title,story
사마달 지상최고 컬렉션,"<사마달 지상최고 컬렉션> 작품구성

1. 비왕특결사 [개정판]
2. 만리혈풍 [개정판]
3. 대악인 [개정판]"
단지,"깨물어서 아프지 않은 손가락은 없다'는 거짓말이다. 나는 '단지', 잘린 손가락."
저택의 주인,외딴섬의 저택. 아이들이 찾아오고 저택의 분위기는 급변하게 된다.
고교권왕,"국내 굴지그룹인 바이오유업의 장자인 한류. 
계모의 위협으로부터 자신의 몸을 지키고자 산속에서 16세기 신안주에 살고 있던 조선인들의 무술을 수련 받게 된다. 전설처럼 내려오는 무술을 전수받은 한류는 후계자에게 내려오는 고유 무술 계승자에 대한 증표인 잉어 문신을 새겨 더욱 강해지고 그런 한류를 제거하기 위해 계모 유정희는 전국의 일진들을 고용하여 한류를 향한 살해 계획을 세우는데...., 한류를 제거하기 위해 모이는 전국의 일진들! 과연, 한류는 이 모든 상황을 극복하고 자신과 바이오 유업을 지켜낼 수 있을까?"
김성동 진짜 남자 컬렉션,"<김성동 진짜 남자 컬렉션> 작품구성

1. 심의 [개정판]
2. 설계자 [개정판]
3. 신변보호사 [개정판]"
손톱,"전래동화 중에 그런 이야기가 있다.
아무데나 버린 손톱을 먹은 들쥐가 손톱주인과 똑같은
모습으로 나타난다는 이야기...

""7년 전 흔적도 없이 실종됐던 딸이 돌아왔다."""
일어나서 사랑을 시작해,"호모포비아로 알려진 유명 배우 권태호, 불의의 사고로 의식불명이 되고 만다.
이후 그가 눈을 뜬 곳은 50년이라는 시간이 지난 후, 미국의 병원.
받아들이기 힘든 현실에 혼란스러워하는 태호 앞에 남제영이 등장한다.
제영은 태호를 좋아했지만 태호가 호모포비아라는 것을 알고 마음을 숨기며 다가가는데...

ㅡ 호모포비아인 권태호와 그를 좋아하는 남제영의 아슬아슬한 동거 생활!"
하승남 무신강림 컬렉션,"<하승남 무신강림 컬렉션> 작품구성

1. 무신강림 [개정판]
2. 골통일타삼피(원제:골통법칙) [개정판]
3. 골통 독보행 [개정판]"
대나무숲에서 알립니다,"익명의 제보를 대신 전하는 '청록고 대나무숲', 누군가 나의 비밀을 폭로했다."
수라도,"단일 조직으로는 강호상의 어떤 문파도 따라올 수 없는 규모의 집단.
세상 사람들이 마교(魔敎)라 부르는
이 천하제일집단의 수장이 갑자기 죽었다.
죽은 전대 교주가 유언으로 남긴 차기 교주는 바로
시골 마을에서 아이들을 가르치며 살고 있는 서당 훈장인데…

암호명‘춤추는 용’무룡(舞龍).
그는 천하를 속이려는 희대의 사기꾼인가, 교주가 남긴 비밀병기인가.
희대의 음모와 책략, 속고 속이는 지략과 귀계(鬼計)가 난무하는
수라(修羅)의 세계가 펼쳐진다…."
네버모어,"전교 1등 보원과 수상한 담임 화사의 목적은 교장♡
전교 1등의 모범생이자 학급 부반장인 '보원'
능글맞은 담임교사 '화사'
그리고 베일에 쌓인 '교장'!
뭐야뭐야 얘네 뭐야!"
