title,story
파운더,"1970년대 각하에 대한 과잉 충성으로 비밀스런 공작대가 운영되었고 이는 정권이 바뀐 1980년대 대한민국 최초의 살인 청부 회사가 설립되는 토대가 된다.
공작대의 에이스 공작원은 처절하게 살아남아 살인청부업 회사의 대표가 되어 회사를 이끌어가게 되는데..."
오빠집이 비어서,"새엄마와 맞장 뜨고 집을 나온 재벌 3세 차은명.
세상 딱 한 명인 친구 희영에게 신세를 질 수 없게 되자, 
어쩔 수 없이 희영의 둘째 오빠가 잠시 비워둔 집에 머물게 된다.

그렇게 한 달 뒤, 은명은 샤워를 하고 나오던 중 
예고도 없이 집으로 돌아온 희영의 둘째 오빠를 대면하게 되고... 
그런데 그 오빠의 정체가 바로바로 대한민국 탑 스타 영화배우 ‘제준영'이라고?!"
미니어처 생활백서,"모르는 할머니가 준 젤리빈을 먹고 작아져버렸다?!
소꿉친구 방에 있는 인형의 집에서 지내게 된 18살 남고생의 눈물겨운 생활기!"
꿈의 기업,문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다. 엄청난 경쟁률을 뚫고 대기업 드림코퍼레이션에 입사한 꿈사원들. 그들 앞에 의심스러운 일들이 펼쳐지는데..!
사이다걸,"어느새 세상은 고구마밭이 되었다.
앞뒤 꽉꽉 막힌 사람, 대화가 통하지 않는 사람, 상식이 통하지 않는 사람이 넘쳐나는 세상…
상처 주기 싫어 참고, 배려하는 사람이 오히려 바보 취급당하는, 무언가 단단히 잘못된 이 세상!
착할 사람일수록 할 말은 하고 살 수 있는 세상을 위해, 청량감 넘치는 히어로 ‘사이다걸’이 신비한 사이다를 들고 찾아온다."
서브 남주가 파업하면 생기는 일,"평범한 한국인 ‘정예서’, 동생이 읽고 있던 대한민국을 휩쓴 
초메가히트 로맨스 판타지 소설 ‘퇴사했더니 이계 공녀’에 서브남주로 빙의한다.
이 서브남주, 훗날 전쟁에 나가 메인 남주 대신 죽을 운명이잖아? 여기서 죽을 수는 없어! 내 목표는 단 하나, 주인공들 근처엔 얼씬도 하지 말고, 
건강하게 버티다가 집으로 돌아가기다.
잠깐? 피하려던 메인 남주 세드리크와 메인 여주 크리스텔이 계속 다가온다?
로맨스는 너희 둘이 하면 되잖아! 나는 판타지만 조금 빌려쓴다니까?"
인섹터,"어느 날 학교에서 담임교사가 <공벌레 인섹터 내라해치>가 되어 
반 아이들을 무차별적으로 살해한 사건이 벌어진다. 
그때 나타난 검은 개미, 그는 반 아이들을 구하게 되고 이 사건을 시작으로 
언론과 SNS로 퍼져 인섹터의 존재는 더 이상 도시 괴담 수준의 이야기가 아니게 된다. 
결국, 정부는 비밀리에 임무를 수행하던 인섹터 퇴치반 버그리퍼를 내세우고 생존자의 증언에 따라 검은 개미를 뒤쫓게 되는데,
검은 개미의 정체는 몸속에 개미 집이 지어진 채 살아가는 평범한 학생 가미성. 
그저 몸속 개미들에게 먹히지 않기 위해 인섹터의
대항마로 변신하여 내키지 않는 싸움을 한다."
강남의 기사,"화려한 현대 도시 강남에 원인 모를 재난이 닥친다. 온갖 괴물들과 악마에게 영혼을 
판 듯한 마법사들이 하늘과 땅 그리고 바다에서 동시에 나타난다. 
현대의 무기나 과학으로 도저히 대적할 수 없는 차원이 다른 적에게 강남은 지옥으로 변모한다."
역주행!,"""지금 인기 급상승 1위가 네 영상이라고!""
직캠 하나로 하루아침에 역주행에 성공한 5년차 무명 아이돌 성준, 그리고 성준과 엮이며 서서히 팬이 되어가는 아윤.
마냥 꿈과 희망만 있진 않은, 한 아이돌과 팬의 이야기!
<일진이 사나워> 김현아 작가의 아이돌 드라마 신작."
다시쓰는 연애사,"대학 시절 구 여친 ‘한서리’와 함께 교통사고를 당한 ‘이제야’. 
눈을 떠보니 10년 전 대학생 시절로 돌아와 버렸다. 그것도 서로의 몸이 뒤바뀐 채로.
제야는 이곳에서 실패했던 서리와의 연애를 다시 써보고 싶다.
""제야야. 날 다시 만나고 싶어? 그럼 날 다시 꼬셔봐.""
과연 제야는 서리의 몸으로 서리를 꼬실 수 있을까?"
피폐물의 해피엔딩을 위하여,"'나'는 피폐한 남주인공들이 신녀 ‘벨’을 소유하기 위해 수단과 방법을 가리지 않는 배드 엔딩 소설 [여명의 기적] 속으로 빙의했다. 
주인공의 행복을 방해하는 걸림돌 로지아나로 환생한 나는 생각한다. ""어쩌면 내가 이 소설의 엔딩을 바꿀 수 있지 않을까?"""
